OryzaID	RXP_4001
Os06g0115700	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=12722'>Os06g0115700  12722</a>
Os07g0119400	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=2740'>Os07g0119400  2740</a>
Os07g0119400	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=34412'>Os07g0119400  34412</a>
Os07g0249700	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=3211'>Os07g0249700  3211</a>
Os07g0483500	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=17160'>Os07g0483500  17160</a>
Os07g0483500	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=38050'>Os07g0483500  38050</a>
Os07g0483500	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=44695'>Os07g0483500  44695</a>
Os07g0493400	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=1432'>Os07g0493400  1432</a>
Os07g0631100	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=26780'>Os07g0631100  26780</a>
Os07g0631100	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=27659'>Os07g0631100  27659</a>
Os08g0144000	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=14194'>Os08g0144000  14194</a>
Os08g0250200	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=34820'>Os08g0250200  34820</a>
Os09g0258600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=3685'>Os09g0258600  3685</a>
Os09g0258600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=20457'>Os09g0258600  20457</a>
Os09g0258600	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=38257'>Os09g0258600  38257</a>
Os09g0297000	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=22067'>Os09g0297000  22067</a>
Os11g0134300	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=5221'>Os11g0134300  5221</a>
Os11g0140800	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=10180'>Os11g0140800  10180</a>
Os11g0148200	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=4223'>Os11g0148200  4223</a>
Os11g0160100	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=38664'>Os11g0160100  38664</a>
Os12g0132200	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=26420'>Os12g0132200  26420</a>
Os12g0132200	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=35793'>Os12g0132200  35793</a>
Os12g0137300	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=34039'>Os12g0137300  34039</a>
Os12g0145400	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=22527'>Os12g0145400  22527</a>
Os12g0165900	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=42018'>Os12g0165900  42018</a>
Os12g0166000	<a target='_blank' href='http://ricexpro.dna.affrc.go.jp/RXP_4001/graph-view.php?featurenum=23447'>Os12g0166000  23447</a>
