loc	plasticity	SNP	Co-localization with other Groups	P.value	maf	effect	trait	Chr.	Start	Stop	V4_Gene_Model	V3_Gene_Model	MapMan_Annotation	Maize_Functional_Annotation
AZ	WW	rs7_26993291		8.51E-09	0.197402597	-1.930637257	ANGLE	7	26986086	26993698	Zm00001d019311	GRMZM2G016958	hormone metabolism.auxin.synthesis-degradation	
AZ	WW	rs3_228212887		1.10E-08	0.018181818	5.964108884	ANGLE	3	228211851	228213968	Zm00001d044441	GRMZM2G143234	mitochondrial electron transport / ATP synthesis.F1-ATPase	
AZ	WW	rs2_178058408		4.96E-25	0.01038961	-30.69865312	BF	2	178058279	178065291	Zm00001d005539	GRMZM2G047095	tetrapyrrole synthesis.ferrochelatase	
AZ	WW	rs4_200791010		3.42E-19	0.01038961	23.77033183	BF	4	200790947	200793361	Zm00001d052785	GRMZM2G014004	protein.degradation	
AZ	WW	rs7_154091769		3.16E-17	0.012987013	-22.76803025	BF	7	154089912	154092986	Zm00001d021494	GRMZM2G416484	not assigned.unknown	
AZ	WW	rs3_205154265		3.84E-11	0.01038961	-20.89187723	BF	3	205152631	205154600	Zm00001d043612	GRMZM2G099166	development.unspecified	
AZ	WW	rs2_145374561		3.08E-09	0.015584416	39.25106121	BF	2	145357641	145376160	Zm00001d004861	GRMZM2G057078	RNA.regulation of transcription.unclassified	
AZ	WW	rs2_16448345		8.70E-09	0.012987013	-10.16971469	BF	2	16448127	16456419	Zm00001d002600	GRMZM2G080156	not assigned.unknown	
AZ	WW	rs8_179051818		1.14E-08	0.023376623	-13.76384742	BF	8	179050887	179052423	Zm00001d012709	GRMZM2G160444	not assigned.unknown	
AZ	WW	rs5_69105355		2.32E-08	0.015584416	-12.86076578	BF	5	69105228	69108023	Zm00001d014938	GRMZM2G111760	"RNA.regulation of transcription.Trihelix, Triple-Helix transcription factor family"	
AZ	WW	rs8_12514494		4.12E-08	0.018181818	-9.035333504	BF	8	12513751	12515017	Zm00001d008546	GRMZM2G081892	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	
AZ	WW	rs3_155496695		4.54E-08	0.012987013	-19.68920276	BF	3	155486059	155497682	Zm00001d042189	GRMZM2G396550	transport.potassium	
AZ	WW	rs9_8480637		6.07E-08	0.025974026	-7.12799516	BF	9	8477460	8482074	Zm00001d044970	GRMZM2G070315	protein.postranslational modification	
AZ	WW	rs4_3575858		1.44E-13	0.044155844	-11.8633319	DISTLAT	4	3574390	3576530	Zm00001d048702	GRMZM2G167549	misc.misc2	
AZ	WW	rs3_233865135		6.47E-09	0.093506494	6.420533906	DISTLAT	3	233863012	233866099	Zm00001d044644	GRMZM2G181081	protein.postranslational modification	
AZ	WW	rs9_18914137		3.40E-08	0.336363636	-4.017622173	DISTLAT	9	18913946	18922479	Zm00001d045320	GRMZM2G098721	not assigned.unknown	
AZ	WW	rs6_62958389		3.58E-08	0.018181818	-33.36637595	LL	6	62958250	62958990	Zm00001d035963	GRMZM2G400718	not assigned.unknown	
AZ	WW	rs10_4290834		5.08E-08	0.023376623	-30.01459089	LL	10	4288877	4292640	Zm00001d023378	GRMZM2G004445	not assigned.unknown	
AZ	STRPL	rs1_67229270		6.57E-09	0.054545455	-0.10034247	ANGLE	1	67228813	67231314	Zm00001d029356	GRMZM2G336824	not assigned.unknown	
AZ	STRPL	rs10_136253470		2.43E-12	0.01038961	3.729275088	BF	10	136253289	136260329	Zm00001d026022	GRMZM2G031326	not assigned.unknown	
AZ	STRPL	rs8_96824771		1.29E-10	0.01038961	3.213887081	BF	8	96823511	96826858	Zm00001d010048	GRMZM2G006745	not assigned.unknown	
AZ	STRPL	rs2_151850492		1.62E-10	0.01038961	3.546072226	BF	2	151850327	151853942	Zm00001d004977	GRMZM2G424491	protein.assembly and cofactor ligation	
AZ	STRPL	rs4_157204780		7.25E-10	0.049350649	-1.405457067	BF	4	157204494	157214368	Zm00001d051404	GRMZM2G093316	protein.postranslational modification	
AZ	STRPL	rs5_102367449		7.36E-09	0.015584416	-2.375032042	BF	5	102367242	102368549	Zm00001d015636	GRMZM2G137507	misc.GDSL-motif lipase	
AZ	STRPL	rs2_46118608		1.26E-08	0.023376623	1.591425834	BF	2	46118394	46119560	Zm00001d003499	GRMZM2G160966	protein.degradation.ubiquitin.E3.RING	
AZ	STRPL	rs10_140620042	WS	1.50E-08	0.01038961	-3.369749608	BF	10	140619551	140620363	Zm00001d026191	GRMZM2G080516	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	
AZ	STRPL	rs4_183481651		2.08E-08	0.012987013	2.731442968	BF	4	183479773	183481948	Zm00001d052215	GRMZM2G042582	redox.thioredoxin	
AZ	STRPL	rs6_155618431		4.80E-42	0.01038961	5.476925248	DISTLAT	6	155615722	155618715	Zm00001d038366	GRMZM2G059637	lipid metabolism.Phospholipid synthesis	
AZ	STRPL	rs3_232901707		4.50E-30	0.01038961	-3.87693267	DISTLAT	3	232900773	232906239	Zm00001d044593	GRMZM2G344924	protein.targeting.nucleus	
AZ	STRPL	rs3_21324034		1.45E-14	0.01038961	2.128543493	DISTLAT	3	21323159	21327454	Zm00001d039975	GRMZM2G098088	not assigned.unknown	
AZ	STRPL	rs7_2700990		6.51E-13	0.018181818	-1.388842767	DISTLAT	7	2698898	2701382	Zm00001d018696	AC177897.2_FG022	"misc.oxidases - copper, flavone etc."	
AZ	STRPL	rs8_146189674		7.33E-12	0.01038961	1.521047837	DISTLAT	8	146189282	146189740	Zm00001d011303	GRMZM2G310158	not assigned.unknown	
AZ	STRPL	rs10_81910361		3.11E-11	0.012987013	1.448507691	DISTLAT	10	81909922	81912952	Zm00001d024644	GRMZM2G112764	RNA.regulation of transcription.MYB-related transcription factor family	
AZ	STRPL	rs1_162456596		1.93E-10	0.135064935	-0.363000777	DISTLAT	1	162455095	162458202	Zm00001d030837	GRMZM2G048140	not assigned.unknown	
AZ	STRPL	rs6_134244250		4.30E-09	0.057142857	0.201693213	LL	6	134242491	134244435	Zm00001d037694	GRMZM2G124890	hormone metabolism.cytokinin.signal transduction	
SA	WW	rs5_12329441		5.96E-08	0.09437751	-0.044690478	BF	5	12329441	12329441	Zm00008a019570	GRMZM2G090435	not assigned.unknown	
SA	WW	rs7_167373331		1.55E-12	0.257028112	-0.042581255	BF	7	167373331	167373331	Zm00008a029231	GRMZM2G172657	RNA.regulation of transcription.GRAS transcription factor family	
SA	WW	rs5_221524287		1.53E-08	0.4437751	-0.029492897	BF	5	221524287	221524287	Zm00008a023337	GRMZM2G143651	mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear	
SA	WW	rs2_33549219		1.71E-08	0.014056225	-2.590120481	ANGLE	2	33549219	33549219	Zm00008a006964	GRMZM2G164036	misc.misc2	
SA	WW	rs5_179887693		3.32E-09	0.164658635	-0.928431403	ANGLE	5	179887693	179887693	Zm00008a022107	GRMZM2G072146	protein.degradation.ubiquitin.ubiquitin protease	
SA	WW	rs2_195231445		2.05E-09	0.415662651	0.682263861	ANGLE	2	195231445	195231445	Zm00008a009113	GRMZM2G080439	protein.degradation.ubiquitin.E3.HECT	
SA	WW	rs3_198495671		1.71E-08	0.146586345	0.79822814	ANGLE	3	198495671	198495671	Zm00008a013764	GRMZM2G014833	protein.postranslational modification	
SA	WW	rs5_62834859		4.21E-08	0.251004016	-0.018677968	DISTLAT	5	62834859	62834859	Zm00008a020585	GRMZM2G158131	not assigned.unknown	
SA	WW	rs1_196931178		5.77E-08	0.146586345	0.022233795	DISTLAT	1	196931178	196931178	Zm00008a003369	GRMZM2G041262	development.unspecified	
SA	WW	rs10_2747551		1.07E-16	0.010040161	-0.130898296	LL	10	2747551	2747551	Zm00008a036370	GRMZM2G356817	stress.biotic	
SA	WW	rs2_17558218		3.82E-10	0.012048193	0.087762214	LL	2	17558218	17558218	Zm00008a038526	GRMZM2G076841	stress.abiotic.drought/salt	
SA	WW	rs3_162016086		9.31E-14	0.463855422	-0.025113206	LL	3	162016086	162016086	Zm00008a012918	GRMZM2G129155	misc.dynamin	
SA	WW	rs3_228983586		1.27E-08	0.146586345	0.024984939	LL	3	228983586	228983586	Zm00008a014629	GRMZM2G001296	not assigned.unknown	
AZSA	ENVPL	rs3_220678235		1.76E-08	0.01038961	0.197117145	ANGLE	3	220678235	220678235	Zm00008a014370	GRMZM2G014395	misc.cytochrome P450	Cytochrome P450
AZSA	ENVPL	rs3_235440040		1.86E-08	0.276623377	0.040499697	ANGLE	3	235440040	235440040	Zm00008a014805	GRMZM2G092021	not assigned.unknown	"Hydrolase, alpha/beta fold family protein"
AZSA	ENVPL	rs10_147942678		5.40E-08	0.35974026	0.036913695	ANGLE	10	147942678	147942678	Zm00008a038792	GRMZM2G124495	"RNA.regulation of transcription.G2-like transcription factor family, GARP"	Transcription factor
AZSA	ENVPL	rs1_269356988		4.36E-09	0.204301075	0.006861815	BF	1	269356988	269356988	Zm00008a004925	GRMZM2G031022	RNA.regulation of transcription.putative transcription regulator	Conserved gene of unknown function
AZSA	ENVPL	rs1_17700041		2.01E-08	0.078853047	-0.12723785	LL	1	17700041	17700041	Zm00008a000537	GRMZM2G115105	transport.misc	Transparent testa 12 protein
