Gene stable ID	Arabidopsis thaliana gene stable ID	Arabidopsis thaliana gene name	Arabidopsis thaliana homology type	Arabidopsis thaliana orthology confidence [0 low, 1 high]	Arabidopsis eFP
Zm00001d010048	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G05410'>AT5G05410</a> 	DREB2A	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G05410'>Arabidopsis eFP: AT5G05410</a>
Zm00001d010048	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G11020'>AT3G11020</a> 	DREB2B	ortholog_one2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G11020'>Arabidopsis eFP: AT3G11020</a>
Zm00001d013042	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G28150'>AT5G28150</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G28150'>Arabidopsis eFP: AT5G28150</a>
Zm00001d013042	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G04860'>AT3G04860</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G04860'>Arabidopsis eFP: AT3G04860</a>
Zm00001d014938	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G28300'>AT5G28300</a> 		ortholog_one2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G28300'>Arabidopsis eFP: AT5G28300</a>
Zm00001d015020	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G50710'>AT1G50710</a> 	AUG4	ortholog_one2one	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G50710'>Arabidopsis eFP: AT1G50710</a>
Zm00001d015636	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G42990'>AT2G42990</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G42990'>Arabidopsis eFP: AT2G42990</a>
Zm00001d015636	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G26790'>AT4G26790</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G26790'>Arabidopsis eFP: AT4G26790</a>
Zm00001d015636	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G04570'>AT2G04570</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G04570'>Arabidopsis eFP: AT2G04570</a>
Zm00001d018119	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G65320'>AT5G65320</a> 	BHLH99	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G65320'>Arabidopsis eFP: AT5G65320</a>
Zm00001d018696	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G37160'>AT4G37160</a> 	sks15	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G37160'>Arabidopsis eFP: AT4G37160</a>
Zm00001d018696	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G23630'>AT2G23630</a> 	sks16	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G23630'>Arabidopsis eFP: AT2G23630</a>
Zm00001d018696	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G66920'>AT5G66920</a> 	sks17	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G66920'>Arabidopsis eFP: AT5G66920</a>
Zm00001d019311	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G02875'>AT3G02875</a> 	ILR1	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G02875'>Arabidopsis eFP: AT3G02875</a>
Zm00001d021494	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G00700'>AT4G00700</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G00700'>Arabidopsis eFP: AT4G00700</a>
Zm00001d021494	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G61300'>AT3G61300</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G61300'>Arabidopsis eFP: AT3G61300</a>
Zm00001d021494	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G11610'>AT4G11610</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G11610'>Arabidopsis eFP: AT4G11610</a>
Zm00001d023378	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G19160'>AT5G19160</a> 	TBL11	ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G19160'>Arabidopsis eFP: AT5G19160</a>
Zm00001d023378	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G06080'>AT3G06080</a> 	TBL10	ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G06080'>Arabidopsis eFP: AT3G06080</a>
Zm00001d024644	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G47390'>AT5G47390</a> 	KUA1	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G47390'>Arabidopsis eFP: AT5G47390</a>
Zm00001d026022	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G17250'>AT2G17250</a> 	EMB2762	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G17250'>Arabidopsis eFP: AT2G17250</a>
Zm00001d026191	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G47220'>AT5G47220</a> 	ERF2	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G47220'>Arabidopsis eFP: AT5G47220</a>
Zm00001d026191	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G17500'>AT4G17500</a> 	ERF1A	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G17500'>Arabidopsis eFP: AT4G17500</a>
Zm00001d030837	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G49840'>AT1G49840</a> 		ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G49840'>Arabidopsis eFP: AT1G49840</a>
Zm00001d030837	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G19540'>AT3G19540</a> 		ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G19540'>Arabidopsis eFP: AT3G19540</a>
Zm00001d030837	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G27690'>AT1G27690</a> 		ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G27690'>Arabidopsis eFP: AT1G27690</a>
Zm00001d032366	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G38060'>AT5G38060</a> 		ortholog_one2one	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G38060'>Arabidopsis eFP: AT5G38060</a>
Zm00001d038366	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G11430'>AT3G11430</a> 	GPAT5	ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G11430'>Arabidopsis eFP: AT3G11430</a>
Zm00001d038366	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G06090'>AT5G06090</a> 	GPAT7	ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G06090'>Arabidopsis eFP: AT5G06090</a>
Zm00001d038366	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT3G11325'>AT3G11325</a> 		ortholog_many2many	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT3G11325'>Arabidopsis eFP: AT3G11325</a>
Zm00001d042189	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G23640'>AT4G23640</a> 	POT3	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G23640'>Arabidopsis eFP: AT4G23640</a>
Zm00001d044441	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G51650'>AT1G51650</a> 		ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G51650'>Arabidopsis eFP: AT1G51650</a>
Zm00001d044644	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G26980'>AT2G26980</a> 	CIPK3	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G26980'>Arabidopsis eFP: AT2G26980</a>
Zm00001d044644	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G21326'>AT5G21326</a> 	CIPK26	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G21326'>Arabidopsis eFP: AT5G21326</a>
Zm00001d044970	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G05000'>AT1G05000</a> 		ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G05000'>Arabidopsis eFP: AT1G05000</a>
Zm00001d044970	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G32960'>AT2G32960</a> 	DSP2	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G32960'>Arabidopsis eFP: AT2G32960</a>
Zm00001d044970	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G03960'>AT4G03960</a> 	DSP4	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G03960'>Arabidopsis eFP: AT4G03960</a>
Zm00001d045320	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT5G46030'>AT5G46030</a> 		ortholog_one2one	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT5G46030'>Arabidopsis eFP: AT5G46030</a>
Zm00001d051404	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G63700'>AT1G63700</a> 	YDA	ortholog_one2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G63700'>Arabidopsis eFP: AT1G63700</a>
Zm00001d052215	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT1G34780'>AT1G34780</a> 	APRL4	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT1G34780'>Arabidopsis eFP: AT1G34780</a>
Zm00001d052215	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT4G08930'>AT4G08930</a> 	APRL6	ortholog_many2many	1	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT4G08930'>Arabidopsis eFP: AT4G08930</a>
Zm00001d052785	<a target='_blank'  href='https://plants.ensembl.org/Arabidopsis_thaliana/Gene/Summary?g=AT2G43210'>AT2G43210</a> 	PUX11	ortholog_one2one	0	<a target='_blank'  href='http://bar.utoronto.ca/efp/cgi-bin/efpWeb.cgi?dataSource=Root&modeInput=Absolute&primaryGene=AT2G43210'>Arabidopsis eFP: AT2G43210</a>
  
